Предлог,АмальгамыИнтерпозиция,АппроксИнверсия,ДвРефлексивИнтерпозиция,ОтрМестИнтерпозиция,Удвоение
без,1,1,0,2,4
в,185,387,802,965,37
для,112,0,467,383,1
до,85,175,12,352,6
за,120,50,302,1047,60
из,41,3,81,127,24
из-за,22,1,0,15,2
из-под,0,0,0,0,0
к,66,141,90,764,22
на,188,66,549,669,87
над,16,0,192,135,4
о,234,1,422,867,18
от,65,10,321,521,38
перед,6,0,75,412,1
по,4,1,974,268,45
по-за,0,0,0,0,0
по-над,0,0,0,0,0
по-под,0,0,0,0,0
под,2,0,9,450,11
при,1,1,2,756,2
про,9,0,262,615,7
с,205,2,646,1126,59
у,60,2,146,126,159
через,0,241,4,24,0
